64,0.55,467.53246753246754,36,77,839,84
54,0.55,518.5185185185185,42,81,827,92
62,0.65,521.7391304347826,36,69,857,74
64,1,533.3333333333334,8,22,963,15
61,0.95,533.3333333333334,8,15,970,15
52,0.5,564.7058823529412,48,85,822,93
58,0.15,578.9473684210526,176,304,332,364
51,0.15,583.3333333333334,182,338,350,312
60,0.15,584.6153846153846,190,325,342,333
40,0.75,596.4912280701755,34,62,881,57
56,0.15,606.25,194,320,341,339
51,0.5,615.3846153846154,56,91,812,97
46,0.2,630.2816901408451,179,308,408,284
56,0.2,635.0,127,200,464,336
49,0.6,637.3626373626373,58,123,786,91
59,0.2,642.1052631578947,122,190,451,359
53,0.15,646.3878326996198,170,263,350,387
63,0.7,647.0588235294117,22,47,919,34
38,0.15,647.6190476190476,204,315,358,327
64,0.3,650.0,130,200,577,223
46,0.15,650.1766784452296,184,283,322,395
56,0.6,650.7936507936508,41,66,871,63
27,1,666.6666666666666,24,36,927,37
58,0.3,668.5393258426966,119,178,614,208
52,0.55,670.8860759493671,53,79,822,99
49,0.15,673.4006734006734,200,297,369,334
63,0.3,676.9230769230769,132,195,609,196
63,0.15,677.0833333333334,195,351,361,288
49,0.2,682.4034334763949,159,233,428,339
46,0.5,684.7826086956521,63,92,801,107
49,0.45,687.5,66,126,778,96
50,0.7,689.6551724137931,40,58,870,72
44,0.15,690.2356902356902,205,297,335,368
40,0.65,691.4893617021277,65,96,810,94
55,0.55,692.3076923076923,72,104,790,106
50,0.35,692.3076923076923,117,169,651,180
58,0.45,693.1818181818181,61,88,817,95
41,0.65,696.969696969697,46,75,859,66
55,0.15,699.1869918699186,172,246,305,449
56,0.25,699.5073891625616,142,203,533,264
57,0.2,700.3891050583658,180,267,476,257
64,0.15,702.5862068965517,163,232,365,403
48,0.15,704.2801556420234,181,257,336,407
53,0.2,704.3010752688172,131,186,469,345
39,0.15,705.0359712230215,196,278,367,355
61,0.5,705.2631578947369,67,114,791,95
47,0.2,707.1129707112971,169,239,430,331
57,0.25,707.2072072072073,157,222,522,256
46,0.45,712.1212121212121,94,139,729,132
47,0.25,712.9186602870814,149,209,523,268
40,0.25,721.7391304347826,166,230,498,272
63,0.4,723.2142857142857,81,112,757,131
43,0.5,726.3157894736842,69,95,796,109
62,0.25,728.2608695652174,134,184,511,305
54,0.35,731.7073170731708,120,194,642,164
43,0.55,731.7073170731708,60,82,826,92
41,0.2,733.0827067669173,195,266,456,278
50,0.1,736.2204724409448,187,342,254,404
47,0.1,737.6425855513309,194,293,263,444
61,0.6,739.1304347826087,34,69,885,46
64,0.1,739.2996108949417,190,290,257,453
